,Degree centrality,Betweenness centrality,Closensess centrality,Eigencentrality
S-PRO,1.1176470588235294,0.012700534759358287,1.0,0.2596448507575912
A,1.1176470588235294,0.012700534759358287,1.0,0.25964485075759114
PR,1.1176470588235294,0.012700534759358287,1.0,0.25964485075759114
ADV,1.1176470588235294,0.012700534759358287,1.0,0.2596448507575911
ADV-PRO,1.1176470588235294,0.012700534759358287,1.0,0.2596448507575911
CONJ,1.1176470588235294,0.012700534759358287,1.0,0.2596448507575911
S,1.1176470588235294,0.012700534759358287,1.0,0.25964485075759103
V,1.1176470588235294,0.012700534759358287,1.0,0.259644850757591
PART,1.0588235294117647,0.008259061200237672,0.9444444444444444,0.2490087685885533
A-PRO,1.0588235294117647,0.008325906120023768,0.9444444444444444,0.24895820592658027
PRAEDIC,1.0,0.004634581105169341,0.8947368421052632,0.237669601266185
NUM,1.0,0.0055072786690433745,0.8947368421052632,0.23671576764665864
INTJ,0.9411764705882353,0.0026849376114082,0.85,0.2244696616365471
ANUM,0.8823529411764706,0.001336898395721925,0.8095238095238095,0.21286604033602094
PARENTH,0.7058823529411764,0.0,0.7727272727272727,0.18762101716350008
NONLEX,0.7647058823529411,0.0,0.7391304347826086,0.1835618261272496
PRAEDIC-PRO,0.6470588235294118,0.0,0.7391304347826086,0.172998597214805
INIT,0.6470588235294118,0.0,0.7391304347826086,0.1721800737463915
